"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
11230.7,54832.5,13423,5458.32,68765.2,5202,12889,660.24,54,-0.355451,2.28798
12826.2,54217,15504,5125.68,64167.4,5235,12897,480.24,3.75,-0.355361,2.28914
13466.2,55040.8,16034,5845.68,63871.7,5998,12905,438.48,13.5,-0.355271,2.29031
15930.9,56880.8,18355,6135.12,64777.1,6207,12913,563.76,3,-0.355182,2.29147
14126.7,55650.9,16636,5105.52,64357.6,5199,12921,588.24,-7.5,-0.355092,2.29264
15507.8,76924.1,13212,6582.24,96461,4472,12929,608.4,-1.5,-0.355002,2.2938
19596.8,68477.5,18755,12500.6,73494.4,11147,12961,1027.44,27.75,-0.354643,2.29846
11837.4,54227.5,14306,4389.12,63836.1,4506,12969,444.24,-8.25,-0.354554,2.29962
9468.8,56066.8,11068,7262.64,68940.4,6904,12977,748.08,-3.75,-0.354464,2.30078
16165.8,57795,18331,7189.92,65100.7,7238,12993,500.4,17.25,-0.354284,2.30195
10514.6,53161.7,12962,7968.24,67801.4,7702,13001,537.84,5.25,-0.354195,2.30311
16327,58801.4,18197,9259.92,67691.9,8965,13009,531.36,18.75,-0.354105,2.30427
